# Co_MO_En, Co_MO_r, Co_MO_i
4.500024899999999661e+01 7.404652213119096004e-04 1.843025154359919900e-03
4.537367299999999659e+01 -1.118195360160290910e-03 1.811391763881889903e-03
4.574717299999999653e+01 -1.175734389756000588e-03 1.818202958810610000e-03
4.612045100000000275e+01 -1.729206391274853017e-04 1.822937190740999986e-03
4.649363499999999760e+01 1.151796638738481230e-03 1.814779045316529914e-03
4.686690000000000111e+01 1.730670187589790398e-03 1.672551172723849965e-03
4.724034199999999828e+01 1.616211298622944074e-03 1.819045612438329905e-03
4.761355199999999854e+01 1.423215784806247577e-03 1.783632305193039950e-03
4.798718399999999917e+01 1.179732685529484484e-03 1.758277133684310080e-03
4.836039900000000102e+01 1.175103435208272457e-03 1.774442349727359909e-03
4.873354700000000150e+01 1.227449794976554886e-03 1.834304092310129952e-03
4.910693400000000253e+01 1.692406185584675263e-03 1.721878090628890063e-03
4.948068099999999703e+01 1.647763017312383303e-03 1.709243568906739907e-03
4.985349899999999934e+01 1.721940485724163293e-03 1.714419401135199939e-03
5.022700600000000293e+01 1.385858125841563527e-03 1.746344882884709937e-03
5.060061000000000320e+01 1.280076835278102110e-03 1.723694938844880101e-03
5.097409900000000249e+01 1.258466267480429050e-03 1.398045249078579914e-03
5.134707199999999716e+01 1.412156625532055322e-03 1.720282337706490004e-03
5.172043399999999735e+01 1.823712539054290474e-03 1.747603781485970037e-03
5.209380900000000025e+01 1.949703929873110048e-03 1.838825211008760039e-03
5.246698399999999651e+01 1.666277485395166198e-03 1.880865338855160088e-03
5.284041599999999761e+01 1.701935346336045469e-03 1.905666627525239975e-03
5.321365099999999870e+01 1.961995568312371353e-03 1.941963180356349973e-03
5.358736600000000294e+01 2.117623056513283537e-03 1.941745017679700081e-03
5.396022700000000327e+01 2.347769650771555985e-03 2.048246710936890182e-03
5.433367499999999950e+01 2.661782913800868431e-03 2.087629373603090005e-03
5.470672400000000124e+01 2.958567653499184075e-03 2.185467915944560181e-03
5.508059699999999737e+01 3.132487325277961455e-03 2.246996065457709801e-03
5.545351000000000141e+01 3.250733606854057899e-03 2.271271294289529865e-03
5.582691400000000215e+01 3.391397434201186278e-03 2.403161260629920002e-03
5.620053500000000213e+01 3.781901438412122850e-03 2.434970072737819950e-03
5.657365000000000066e+01 4.403789937827204751e-03 2.617187287939730204e-03
5.694692100000000323e+01 5.193747094412996812e-03 2.698366509282099784e-03
5.732024200000000036e+01 6.046973290981269220e-03 2.776385980283220187e-03
5.769394499999999937e+01 7.157202605290020891e-03 2.695439370528269953e-03
5.806745999999999697e+01 8.616420506979513561e-03 2.348377821726629899e-03
5.844015399999999971e+01 1.049232183847000240e-02 1.298518769856419957e-03
5.881345900000000171e+01 1.273219367404062469e-02 -4.902275410725540376e-04
5.918701899999999938e+01 1.422609166196727067e-02 -2.650965403931259887e-03
5.956073500000000109e+01 1.356092554434425862e-02 -7.703050232562389833e-03
5.993390200000000334e+01 1.041999449538414529e-02 -1.315167873544149935e-02
6.030687499999999801e+01 5.663637648572688622e-03 -1.463065253489830020e-02
6.068016899999999936e+01 9.848086872827142412e-04 -1.348475510969029956e-02
6.105392400000000208e+01 -2.363085096652797756e-03 -1.163827589889259925e-02
6.142710199999999787e+01 -4.011790098055622103e-03 -9.605102429224040769e-03
6.179994500000000102e+01 -4.973334299565069193e-03 -7.715135084657600076e-03
6.217372600000000205e+01 -5.539128656843764209e-03 -5.914044329363889706e-03
6.254709900000000289e+01 -5.500727974996441616e-03 -4.618176355294690248e-03
6.292042099999999749e+01 -5.206327437191219168e-03 -3.415131118833090139e-03
6.329415999999999798e+01 -4.720315299061592432e-03 -2.485534524352650022e-03
6.366645100000000213e+01 -4.050632023573504450e-03 -1.887937954534870105e-03
6.404038900000000467e+01 -3.532437827236488328e-03 -1.384870081326350019e-03
6.441388899999999751e+01 -3.100969515054232198e-03 -1.062378688420349913e-03
6.478727399999999648e+01 -2.627287177704626907e-03 -7.686923874152730039e-04
6.516020500000000482e+01 -2.386845119158001894e-03 -6.139650820491859753e-04
6.553317099999999584e+01 -2.167038399133357045e-03 -4.227974748410260209e-04
6.590710300000000643e+01 -2.057386596319587483e-03 -3.204251480413189998e-04
6.628078200000000209e+01 -1.803114840929544290e-03 -2.369141372986430108e-04
6.665385100000000307e+01 -1.675141546088788989e-03 -1.588895320489850044e-04
6.702760299999999916e+01 -1.430472671318770445e-03 -6.589994304597120210e-06
6.740011699999999450e+01 -1.283586388036376223e-03 2.177413789875999912e-05
6.777369199999999694e+01 -1.196193828220985193e-03 1.919129323953889941e-05
6.814711800000000608e+01 -1.130832101019023459e-03 -1.847605871410209962e-05
6.852064699999999675e+01 -1.008751217493089949e-03 -4.158794013888590168e-06
6.889421000000000106e+01 -9.453941341747535646e-04 -5.163022653070130033e-05
6.926725199999999916e+01 -8.435420652107294710e-04 -1.267386112868159980e-04
6.964001600000000280e+01 -7.582809021184197442e-04 -9.850396461708990138e-05
7.001294900000000609e+01 -6.849146054323259182e-04 -1.013997918074789953e-04
7.038724999999999454e+01 -5.657601596428164402e-04 -1.062547038173639979e-04
7.076052599999999870e+01 -5.213155233098928747e-04 -1.558082151611060099e-04
7.113430300000000273e+01 -5.017863390661598567e-04 -1.506262324543370063e-04
7.150669000000000608e+01 -4.971434083206381725e-04 -2.037163840254559925e-04
7.188026100000000440e+01 -4.940580821968783374e-04 -1.979694395319659870e-04
