# Co_MO_En, Co_MO_r, Co_MO_i
4.500024899999999661e+01 1.310347197509609913e-03 1.843025154359919900e-03
4.537367299999999659e+01 -2.828951035196189834e-03 1.811391763881889903e-03
4.574717299999999653e+01 1.554622180677069955e-04 1.818202958810610000e-03
4.612045100000000275e+01 2.122101559824689958e-04 1.822937190740999986e-03
4.649363499999999760e+01 5.662321951942089499e-04 1.814779045316529914e-03
4.686690000000000111e+01 1.871487667319259984e-03 1.672551172723849965e-03
4.724034199999999828e+01 1.976943247237980192e-03 1.819045612438329905e-03
4.761355199999999854e+01 2.166600679485590052e-03 1.783632305193039950e-03
4.798718399999999917e+01 -5.795497716444329792e-04 1.758277133684310080e-03
4.836039900000000102e+01 1.831161249548770090e-03 1.774442349727359909e-03
4.873354700000000150e+01 1.819258244622449930e-03 1.834304092310129952e-03
4.910693400000000253e+01 1.400482958759370058e-03 1.721878090628890063e-03
4.948068099999999703e+01 1.163285932797350009e-03 1.709243568906739907e-03
4.985349899999999934e+01 1.883117196092959919e-03 1.714419401135199939e-03
5.022700600000000293e+01 2.230025379385140120e-03 1.746344882884709937e-03
5.060061000000000320e+01 8.635537340303129630e-04 1.723694938844880101e-03
5.097409900000000249e+01 2.672658173311979850e-04 1.398045249078579914e-03
5.134707199999999716e+01 2.238935963314849821e-03 1.720282337706490004e-03
5.172043399999999735e+01 2.093298695149410204e-03 1.747603781485970037e-03
5.209380900000000025e+01 1.630872559859049969e-03 1.838825211008760039e-03
5.246698399999999651e+01 1.601938902406130089e-03 1.880865338855160088e-03
5.284041599999999761e+01 1.727242688050269898e-03 1.905666627525239975e-03
5.321365099999999870e+01 2.003877648222129881e-03 1.941963180356349973e-03
5.358736600000000294e+01 2.092046857242639904e-03 1.941745017679700081e-03
5.396022700000000327e+01 2.483558354035379865e-03 2.048246710936890182e-03
5.433367499999999950e+01 2.367860262179510150e-03 2.087629373603090005e-03
5.470672400000000124e+01 3.090145436670839983e-03 2.185467915944560181e-03
5.508059699999999737e+01 3.334386203578139970e-03 2.246996065457709801e-03
5.545351000000000141e+01 3.195673637846879918e-03 2.271271294289529865e-03
5.582691400000000215e+01 3.284089194460220081e-03 2.403161260629920002e-03
5.620053500000000213e+01 3.631057851582279988e-03 2.434970072737819950e-03
5.657365000000000066e+01 4.621525724811730192e-03 2.617187287939730204e-03
5.694692100000000323e+01 5.208556045699769960e-03 2.698366509282099784e-03
5.732024200000000036e+01 5.987540456768390001e-03 2.776385980283220187e-03
5.769394499999999937e+01 7.166158220497610351e-03 2.695439370528269953e-03
5.806745999999999697e+01 8.434535127012719735e-03 2.348377821726629899e-03
5.844015399999999971e+01 1.054034826813259919e-02 1.298518769856419957e-03
5.881345900000000171e+01 1.219898391347659997e-02 -4.902275410725540376e-04
5.918701899999999938e+01 1.423920759681799979e-02 -2.650965403931259887e-03
5.956073500000000109e+01 1.474290502520209968e-02 -7.703050232562389833e-03
5.993390200000000334e+01 1.094707972241800061e-02 -1.315167873544149935e-02
6.030687499999999801e+01 5.085537813056000347e-03 -1.463065253489830020e-02
6.068016899999999936e+01 1.557456519669860073e-04 -1.348475510969029956e-02
6.105392400000000208e+01 -2.216388698595310198e-03 -1.163827589889259925e-02
6.142710199999999787e+01 -3.809769948070060135e-03 -9.605102429224040769e-03
6.179994500000000102e+01 -5.224874454882159729e-03 -7.715135084657600076e-03
6.217372600000000205e+01 -5.063124503695680227e-03 -5.914044329363889706e-03
6.254709900000000289e+01 -5.980794339742650026e-03 -4.618176355294690248e-03
6.292042099999999749e+01 -5.137254011425500255e-03 -3.415131118833090139e-03
6.329415999999999798e+01 -4.381238490597829695e-03 -2.485534524352650022e-03
6.366645100000000213e+01 -4.375671467150129591e-03 -1.887937954534870105e-03
6.404038900000000467e+01 -3.333368941889469812e-03 -1.384870081326350019e-03
6.441388899999999751e+01 -3.217920931425099790e-03 -1.062378688420349913e-03
6.478727399999999648e+01 -2.479004259498819931e-03 -7.686923874152730039e-04
6.516020500000000482e+01 -2.510081420075199830e-03 -6.139650820491859753e-04
6.553317099999999584e+01 -2.087053796323460036e-03 -4.227974748410260209e-04
6.590710300000000643e+01 -2.028969237017460171e-03 -3.204251480413189998e-04
6.628078200000000209e+01 -1.958551697345399956e-03 -2.369141372986430108e-04
6.665385100000000307e+01 -1.606350071351080088e-03 -1.588895320489850044e-04
6.702760299999999916e+01 -1.331292526852630078e-03 -6.589994304597120210e-06
6.740011699999999450e+01 -1.445621100743249912e-03 2.177413789875999912e-05
6.777369199999999694e+01 -1.027603398708199899e-03 1.919129323953889941e-05
6.814711800000000608e+01 -1.245737718483049981e-03 -1.847605871410209962e-05
6.852064699999999675e+01 -9.782845423077139810e-04 -4.158794013888590168e-06
6.889421000000000106e+01 -9.686686892266969853e-04 -5.163022653070130033e-05
6.926725199999999916e+01 -7.941509351409670268e-04 -1.267386112868159980e-04
6.964001600000000280e+01 -7.623377375592989844e-04 -9.850396461708990138e-05
7.001294900000000609e+01 -7.655182211598979833e-04 -1.013997918074789953e-04
7.038724999999999454e+01 -4.853222953570860104e-04 -1.062547038173639979e-04
7.076052599999999870e+01 -5.879420126846979537e-04 -1.558082151611060099e-04
7.113430300000000273e+01 -3.351612482811789804e-04 -1.506262324543370063e-04
7.150669000000000608e+01 -6.706246026537689923e-04 -2.037163840254559925e-04
7.188026100000000440e+01 -4.373111787185669785e-04 -1.979694395319659870e-04
