# FeNi_MO_En, FeNi_MO_r, FeNi_MO_i
4.500075700000000012e+01 1.125990175822146663e-03 9.282774762317338741e-04
4.537408302777777891e+01 8.164281232063881361e-04 7.953678669921947827e-04
4.574740905555555770e+01 5.950276182197672967e-04 8.665624031168736238e-04
4.612073508333333649e+01 5.225219114969021196e-04 7.948876533903034315e-04
4.649406111111110818e+01 7.891283751549351636e-04 7.563244068342346539e-04
4.686738713888888697e+01 1.203785084319269200e-03 7.197416937686719387e-04
4.724071316666666576e+01 1.447643697333250365e-03 8.343549708518284425e-04
4.761403919444444455e+01 1.592920443988383875e-03 8.597814120400294833e-04
4.798736522222222334e+01 1.563323219521475359e-03 7.356265174203343010e-04
4.836069125000000213e+01 1.372876090317098723e-03 7.990185902652115722e-04
4.873401727777777381e+01 1.282047814346241399e-03 8.397128315555477812e-04
4.910734330555555260e+01 1.335398621856305392e-03 9.286841063277681378e-04
4.948066933333333139e+01 1.314483709096214009e-03 9.294468796618401193e-04
4.985399536111111018e+01 1.526857207051479431e-03 9.578072434150015609e-04
5.022732138888888898e+01 1.817338178585101507e-03 9.463394778026067589e-04
5.060064741666666777e+01 2.112756321657061585e-03 9.520376086355210841e-04
5.097397344444443945e+01 2.470331171782112496e-03 9.643072124318364125e-04
5.134729947222221824e+01 3.000113653506854532e-03 9.918898359654924977e-04
5.172062549999999703e+01 3.620221729580147454e-03 8.807653537365918179e-04
5.209395152777777582e+01 4.141287640050741146e-03 3.529481677616163487e-04
5.246727755555555461e+01 4.592039068490609902e-03 -2.901588115067458033e-04
5.284060358333333340e+01 5.105841254096629873e-03 -8.496667059960073213e-04
5.321392961111111219e+01 5.439997265730928816e-03 -1.747228582474476396e-03
5.358725563888889099e+01 5.542268072338705706e-03 -2.995052995022204172e-03
5.396058166666666267e+01 5.163923771379632863e-03 -4.142715472090775265e-03
5.433390769444444146e+01 4.009928624136330569e-03 -5.153833138501206189e-03
5.470723372222222025e+01 2.241062448687020960e-03 -6.041399462730205963e-03
5.508055974999999904e+01 2.037023444296256038e-04 -6.334919362693436536e-03
5.545388577777777073e+01 -1.886532995737282567e-03 -5.942766491542243040e-03
5.582721180555554952e+01 -3.787242438575548834e-03 -5.016409579376958187e-03
5.620053783333332831e+01 -4.744504581276807152e-03 -3.980923844095293589e-03
5.657386386111110710e+01 -5.101220211348930604e-03 -2.988704760108036422e-03
5.694718988888888589e+01 -4.850675625005475798e-03 -1.797060916402577367e-03
5.732051591666666468e+01 -4.259834930424520952e-03 -1.040846210190410435e-03
5.769384194444444347e+01 -3.598449742848325913e-03 -3.414467716353371393e-04
5.806716797222222226e+01 -3.186311752542140413e-03 2.132321848565406049e-04
5.844049400000000105e+01 -2.473365998221333222e-03 4.850974563215146263e-04
5.881382002777777274e+01 -1.902042523198573280e-03 7.300047570787540976e-04
5.918714605555555153e+01 -1.464979334916748999e-03 8.273648678138656107e-04
5.956047208333333032e+01 -1.101236666647497416e-03 7.851837439868899517e-04
5.993379811111110911e+01 -8.738447825093742776e-04 8.465221497153958396e-04
6.030712413888888079e+01 -7.346239580209772222e-04 8.047939811503324655e-04
6.068045016666665958e+01 -4.519697004025146681e-04 8.181636583275373473e-04
6.105377619444443837e+01 -2.449354183533136329e-04 7.575487018627439541e-04
6.142710222222221716e+01 -6.385177832028042727e-05 8.258223026943569203e-04
6.180042824999999596e+01 1.220574368907144294e-04 8.232496924313603692e-04
6.217375427777777475e+01 2.392822445797770621e-04 7.353351320363574802e-04
6.254708030555555354e+01 3.498014089258674590e-04 6.787365971184715178e-04
6.292040633333333233e+01 4.590537481996543700e-04 6.152526839186499546e-04
6.329373236111111112e+01 5.941360323301255473e-04 6.304730593528259236e-04
6.366705838888888280e+01 7.903204974612638685e-04 6.080970590022671991e-04
6.404038441666665449e+01 1.028399180114588545e-03 5.713238457038835420e-04
6.441371044444443328e+01 1.298587065206021924e-03 5.191489703163995866e-04
6.478703647222221207e+01 1.727455224907613286e-03 3.437503738931017893e-04
6.516036249999999086e+01 2.170712489215116323e-03 1.857493390718886896e-05
6.553368852777776965e+01 2.313801855140712894e-03 -6.290743996095193857e-04
6.590701455555554844e+01 2.018707627028365655e-03 -1.567324036885418045e-03
6.628034058333332723e+01 1.179591095134041069e-03 -2.469491816899530099e-03
6.665366661111110602e+01 3.903041785212837023e-05 -2.667752638716579423e-03
6.702699263888888481e+01 -9.016919143524735475e-04 -2.439188372509758403e-03
6.740031866666666360e+01 -1.508810713738295431e-03 -1.744679779905977104e-03
6.777364469444444239e+01 -1.750480973900056525e-03 -1.092991985347773832e-03
6.814697072222222118e+01 -1.627829962576635278e-03 -4.960814976416973773e-04
6.852029674999999997e+01 -1.394682502614997318e-03 -2.245802466633272634e-04
6.889362277777777877e+01 -1.133664674298268853e-03 -6.664847585767146650e-05
6.926694880555555756e+01 -9.054820980129957113e-04 -4.155872919455484016e-05
6.964027483333332214e+01 -8.617686322229839869e-04 2.112782034605358190e-05
7.001360086111110093e+01 -7.486004866874657005e-04 5.653217470027705166e-05
7.038692688888887972e+01 -6.427473639565135181e-04 4.056417322439041844e-05
7.076025291666665851e+01 -5.886211849614551156e-04 1.443965794296415400e-05
7.113357894444443730e+01 -5.158722907099582864e-04 -8.389609079717077794e-05
7.150690497222221609e+01 -4.853290121197125157e-04 -8.202706912501459685e-05
7.188023099999999488e+01 -5.227891265651665080e-04 -1.772061225389039477e-06
