# Fe_MO_En, Fe_MO_r, Fe_MO_i
4.500075700000000012e+01 2.235253956458087190e-03 1.034890802232280070e-03
4.537370800000000060e+01 1.623042932412553305e-03 9.767623101155900513e-04
4.574710100000000068e+01 1.185288083745196161e-03 9.719767895499379544e-04
4.612032399999999654e+01 1.043838926766986561e-03 9.168693297427520442e-04
4.649353399999999681e+01 1.579636528147071147e-03 9.863319192038848965e-04
4.686695999999999884e+01 2.411631323216403312e-03 9.350952723972400090e-04
4.724042699999999684e+01 2.900649850954316496e-03 1.081260242729949975e-03
4.761351599999999706e+01 3.191374375811797774e-03 1.140517394431120107e-03
4.798723600000000289e+01 3.130990939369232735e-03 1.002173290759530034e-03
4.836034999999999684e+01 2.747793287157596423e-03 1.231681416114180101e-03
4.873368899999999826e+01 2.562436683014647845e-03 1.163408594306960088e-03
4.910701600000000155e+01 2.664728987398600271e-03 1.199536332518049949e-03
4.948051199999999739e+01 2.617040317983698565e-03 1.293709139728520079e-03
4.985350100000000140e+01 3.034449883621267996e-03 1.335128148267090108e-03
5.022696299999999781e+01 3.607769970598701057e-03 1.335021858995939954e-03
5.060060500000000161e+01 4.190140503006263561e-03 1.358714934134470096e-03
5.097388399999999820e+01 4.895067982631690767e-03 1.426403625386369993e-03
5.134723600000000232e+01 5.943525524257218216e-03 1.422397261903380001e-03
5.172024600000000305e+01 7.170642528458613316e-03 1.161452658888479901e-03
5.209377599999999831e+01 8.200063504714399237e-03 1.830157060740540101e-04
5.246688699999999983e+01 9.086462807312456480e-03 -1.133903640585950078e-03
5.284034499999999923e+01 1.009910728217135352e-02 -2.231266695873159855e-03
5.321364299999999758e+01 1.075108037490412130e-02 -4.039044322907920335e-03
5.358717800000000153e+01 1.093817223442464584e-02 -6.446129046627629804e-03
5.396019900000000291e+01 1.016483356499863454e-02 -8.790005955733129830e-03
5.433365500000000026e+01 7.836911373390813285e-03 -1.078972502172069990e-02
5.470699100000000215e+01 4.278359491485129312e-03 -1.257101658972739969e-02
5.508056599999999747e+01 1.787599762564209599e-04 -1.315410051477240022e-02
5.545370400000000188e+01 -4.023061516815459870e-03 -1.237053285885899960e-02
5.582708699999999880e+01 -7.850065244854504548e-03 -1.050654830617880030e-02
5.620062099999999816e+01 -9.791115781270277180e-03 -8.467969734843110510e-03
5.657387700000000308e+01 -1.053074161320276605e-02 -6.436639549117139855e-03
5.694676100000000218e+01 -1.005862507438648641e-02 -4.114874074801449892e-03
5.732041300000000206e+01 -8.904725754872156590e-03 -2.569902214822390122e-03
5.769397500000000178e+01 -7.611038676506169318e-03 -1.179131085744939940e-03
5.806757900000000205e+01 -6.817298880558131900e-03 -1.737909497330019878e-04
5.843993799999999794e+01 -5.426026625258395866e-03 3.991263295615909892e-04
5.881376600000000110e+01 -4.315039146569631112e-03 8.198234117757800463e-04
5.918717500000000342e+01 -3.467060164518108011e-03 1.121626945034419993e-03
5.956074600000000174e+01 -2.794573257519757971e-03 1.037497784417939963e-03
5.993377799999999667e+01 -2.381000282314843248e-03 1.051045504990130025e-03
6.030698199999999787e+01 -2.147180069823318837e-03 1.084111429731820023e-03
6.068009500000000145e+01 -1.657648293786936032e-03 1.035960727265859997e-03
6.105365499999999912e+01 -1.283768160870246179e-03 9.470903858416109813e-04
6.142725200000000285e+01 -9.975368805946881363e-04 9.549711500180790022e-04
6.179992800000000130e+01 -7.906987803168682473e-04 8.921778622144350144e-04
6.217349500000000262e+01 -6.449309428554085956e-04 7.428125477766529513e-04
6.254709600000000336e+01 -5.851840063295061329e-04 5.958500867107289654e-04
6.292033800000000099e+01 -5.691345573262146951e-04 5.481582401504259995e-04
6.329413799999999668e+01 -5.115630583368658635e-04 4.652130903649170121e-04
6.366652599999999751e+01 -3.862712194510774157e-04 3.626442319677029868e-04
6.404036200000000179e+01 -2.644134341308349229e-04 3.421774967953640023e-04
6.441389200000000415e+01 -1.875032902520208200e-04 2.840260150688640110e-04
6.478736100000000420e+01 -1.449964846779892771e-04 2.005447440385789946e-04
6.516038500000000511e+01 -1.860138453115767134e-04 1.438868562406450072e-04
6.553332000000000335e+01 -3.596991371131151864e-04 9.022643946951729545e-05
6.590690499999999474e+01 -3.911727921072572964e-04 6.830616928120869947e-05
6.628079999999999927e+01 -4.249194074608471285e-04 -4.421231701574799931e-05
6.665432699999999500e+01 -4.378804495870472534e-04 -2.364237742132960015e-05
6.702751700000000312e+01 -2.990002386095133363e-04 -1.194014467801630003e-04
6.739997999999999934e+01 -3.032204001395305461e-04 2.375587698786750098e-05
6.777352199999999982e+01 -3.651919596008868776e-04 -4.470095333454509766e-05
6.814728999999999814e+01 -3.608147279337117264e-04 -3.158360650790050135e-05
6.852056500000000483e+01 -4.432999450820980557e-04 -3.444879140604200007e-06
6.889378700000000322e+01 -4.368206070487978213e-04 -3.056567266405010137e-05
6.926734299999999678e+01 -4.167764722860323808e-04 -1.736103406968260025e-05
6.964017099999999516e+01 -5.929326879272892514e-04 2.181984265709880123e-05
7.001329099999999528e+01 -5.121761717708494263e-04 6.734894304250119697e-06
7.038755000000000450e+01 -4.547073270341701933e-04 -1.424862203574480098e-07
7.076034400000000346e+01 -5.264559452050857503e-04 3.258450238518209851e-05
7.113414699999999868e+01 -5.036112513239635394e-04 -1.407944062769250060e-05
7.150672500000000298e+01 -4.795134770261584166e-04 -6.723927706491620074e-05
7.188023099999999488e+01 -4.708673249746237388e-04 -1.512731060446329983e-05
