# Fe_MO_En, Fe_MO_r, Fe_MO_i
4.500075700000000012e+01 2.342139090545669947e-03 1.034890802232280070e-03
4.537370800000000060e+01 1.166121627950220032e-03 9.767623101155900513e-04
4.574710100000000068e+01 1.894518908298949925e-03 9.719767895499379544e-04
4.612032399999999654e+01 6.384259914236809722e-04 9.168693297427520442e-04
4.649353399999999681e+01 1.247334869805899948e-03 9.863319192038848965e-04
4.686695999999999884e+01 2.306287194688960013e-03 9.350952723972400090e-04
4.724042699999999684e+01 3.566217716657180212e-03 1.081260242729949975e-03
4.761351599999999706e+01 3.638611366598309797e-03 1.140517394431120107e-03
4.798723600000000289e+01 1.711571175762410107e-03 1.002173290759530034e-03
4.836034999999999684e+01 3.659567334070410079e-03 1.231681416114180101e-03
4.873368899999999826e+01 2.760522437662150073e-03 1.163408594306960088e-03
4.910701600000000155e+01 2.193453390587699926e-03 1.199536332518049949e-03
4.948051199999999739e+01 2.554816413487199893e-03 1.293709139728520079e-03
4.985350100000000140e+01 3.076275551414169810e-03 1.335128148267090108e-03
5.022696299999999781e+01 4.035642205284169746e-03 1.335021858995939954e-03
5.060060500000000161e+01 3.806800564731060033e-03 1.358714934134470096e-03
5.097388399999999820e+01 4.916475003556389570e-03 1.426403625386369993e-03
5.134723600000000232e+01 5.905875110621620037e-03 1.422397261903380001e-03
5.172024600000000305e+01 7.102087901081120293e-03 1.161452658888479901e-03
5.209377599999999831e+01 8.577795329006439318e-03 1.830157060740540101e-04
5.246688699999999983e+01 8.860485231709519169e-03 -1.133903640585950078e-03
5.284034499999999923e+01 9.875212212020499647e-03 -2.231266695873159855e-03
5.321364299999999758e+01 1.056449223080009950e-02 -4.039044322907920335e-03
5.358717800000000153e+01 1.155685654448359960e-02 -6.446129046627629804e-03
5.396019900000000291e+01 9.897438575955359516e-03 -8.790005955733129830e-03
5.433365500000000026e+01 7.944675523310289200e-03 -1.078972502172069990e-02
5.470699100000000215e+01 4.853328235786900056e-03 -1.257101658972739969e-02
5.508056599999999747e+01 -3.336027254001959746e-04 -1.315410051477240022e-02
5.545370400000000188e+01 -3.958516155965719971e-03 -1.237053285885899960e-02
5.582708699999999880e+01 -7.751380356108559730e-03 -1.050654830617880030e-02
5.620062099999999816e+01 -9.967648875282330082e-03 -8.467969734843110510e-03
5.657387700000000308e+01 -1.148376634639739977e-02 -6.436639549117139855e-03
5.694676100000000218e+01 -9.062023112635129302e-03 -4.114874074801449892e-03
5.732041300000000206e+01 -8.982701645169229726e-03 -2.569902214822390122e-03
5.769397500000000178e+01 -7.852018083465240467e-03 -1.179131085744939940e-03
5.806757900000000205e+01 -6.479041669877569701e-03 -1.737909497330019878e-04
5.843993799999999794e+01 -5.658522069365940106e-03 3.991263295615909892e-04
5.881376600000000110e+01 -4.548438560558199818e-03 8.198234117757800463e-04
5.918717500000000342e+01 -2.861315253160690020e-03 1.121626945034419993e-03
5.956074600000000174e+01 -3.001286728644639995e-03 1.037497784417939963e-03
5.993377799999999667e+01 -2.539610404870550151e-03 1.051045504990130025e-03
6.030698199999999787e+01 -2.077804567707979954e-03 1.084111429731820023e-03
6.068009500000000145e+01 -1.645103943425840027e-03 1.035960727265859997e-03
6.105365499999999912e+01 -1.336597576120540079e-03 9.470903858416109813e-04
6.142725200000000285e+01 -9.265795027093400504e-04 9.549711500180790022e-04
6.179992800000000130e+01 -7.937612814383750246e-04 8.921778622144350144e-04
6.217349500000000262e+01 -6.813145345388349917e-04 7.428125477766529513e-04
6.254709600000000336e+01 -5.717907351542470202e-04 5.958500867107289654e-04
6.292033800000000099e+01 -5.169879269380660194e-04 5.481582401504259995e-04
6.329413799999999668e+01 -5.382355890325709550e-04 4.652130903649170121e-04
6.366652599999999751e+01 -5.231586940078349459e-04 3.626442319677029868e-04
6.404036200000000179e+01 -1.765724263000639912e-04 3.421774967953640023e-04
6.441389200000000415e+01 -7.408251955724379873e-05 2.840260150688640110e-04
6.478736100000000420e+01 -2.344466053777339968e-04 2.005447440385789946e-04
6.516038500000000511e+01 -2.754214390490860188e-04 1.438868562406450072e-04
6.553332000000000335e+01 -1.831959763903400092e-04 9.022643946951729545e-05
6.590690499999999474e+01 -3.631058155499430223e-04 6.830616928120869947e-05
6.628079999999999927e+01 -7.429674825651850535e-04 -4.421231701574799931e-05
6.665432699999999500e+01 -1.719653538327039924e-04 -2.364237742132960015e-05
6.702751700000000312e+01 -3.786799981101269760e-04 -1.194014467801630003e-04
6.739997999999999934e+01 -3.113384414888100077e-04 2.375587698786750098e-05
6.777352199999999982e+01 -1.975468689441949954e-04 -4.470095333454509766e-05
6.814728999999999814e+01 -6.834545856642250221e-04 -3.158360650790050135e-05
6.852056500000000483e+01 -1.747133715889399896e-04 -3.444879140604200007e-06
6.889378700000000322e+01 -4.994022476703729530e-04 -3.056567266405010137e-05
6.926734299999999678e+01 -5.577481637488680352e-04 -1.736103406968260025e-05
6.964017099999999516e+01 -3.270219847538399804e-04 2.181984265709880123e-05
7.001329099999999528e+01 -6.768440855302570438e-04 6.734894304250119697e-06
7.038755000000000450e+01 -6.491199114049099606e-04 -1.424862203574480098e-07
7.076034400000000346e+01 -1.706303382632650117e-04 3.258450238518209851e-05
7.113414699999999868e+01 -5.126956895860590143e-04 -1.407944062769250060e-05
7.150672500000000298e+01 -7.417443751999469766e-04 -6.723927706491620074e-05
7.188023099999999488e+01 -3.557262685824019808e-04 -1.512731060446329983e-05
