# Ni_MO_En, Ni_MO_r, Ni_MO_i
4.500088800000000333e+01 2.322844592453420214e-03 8.215911807593530031e-04
4.537380600000000186e+01 6.996480514581640046e-07 6.138688181870740257e-04
4.574704499999999996e+01 1.605300631525139951e-03 7.612796060718539587e-04
4.612030399999999730e+01 4.411927312979700157e-04 6.729987756202359620e-04
4.649350400000000150e+01 -5.552884780510849647e-04 5.264225251379930090e-04
4.686685200000000151e+01 -8.429976107509949777e-04 5.041015988478949553e-04
4.724040600000000012e+01 5.542735431147169882e-05 5.874108500943250270e-04
4.761352600000000024e+01 1.084113418845309963e-04 5.793906546604000486e-04
4.798707600000000184e+01 -8.800083914193429502e-04 4.690799094355569852e-04
4.836034800000000189e+01 -6.023866070714669913e-04 3.662806473343000109e-04
4.873379899999999765e+01 3.483668551140889857e-05 5.159023199775190308e-04
4.910708900000000199e+01 9.620179090890299814e-04 6.578124658996340000e-04
4.948043499999999995e+01 1.226471765162289948e-04 5.651574866385029828e-04
4.985328200000000010e+01 3.515450598871239967e-04 5.805301682914419800e-04
5.022690399999999755e+01 3.091686709100499738e-04 5.576480924613840331e-04
5.060054300000000183e+01 2.341464488750170079e-04 5.453646656166130473e-04
5.097386999999999802e+01 -2.803224758662370035e-05 5.021953505742030076e-04
5.134723799999999727e+01 3.005160940382060083e-04 5.614202649577600254e-04
5.172023999999999688e+01 3.020323333833330225e-04 6.011522586841839709e-04
5.209384000000000015e+01 1.311679977581139901e-04 5.234908207317740371e-04
5.246693199999999990e+01 2.998955634396449917e-05 5.547536083459759767e-04
5.284010299999999916e+01 2.390565919666429910e-04 5.331676706737509914e-04
5.321367300000000000e+01 3.326453650694319981e-04 5.464959244379359550e-04
5.358719700000000330e+01 -4.142607833576129834e-05 4.565030190943870176e-04
5.396025900000000064e+01 3.468198729708700176e-04 5.066442518069889933e-04
5.433373199999999770e+01 9.333887227660940197e-05 4.832619077603670038e-04
5.470689099999999883e+01 3.697201336211879846e-04 4.886004987952579769e-04
5.508054899999999776e+01 3.434774921270779854e-04 4.842520386845940053e-04
5.545369300000000123e+01 1.526748015492470018e-04 4.840981300175519809e-04
5.582699499999999659e+01 1.803896783937550003e-04 4.730285409791209952e-04
5.620051000000000130e+01 1.633384463300810083e-04 5.065794661286489742e-04
5.657343800000000300e+01 1.658583520920270122e-04 4.592333340938540079e-04
5.694674400000000247e+01 2.669274347841010028e-04 5.190160845624369875e-04
5.732051700000000238e+01 4.199118509958040153e-04 4.878265453469379787e-04
5.769374700000000189e+01 5.380347958755739464e-04 4.967062990811840512e-04
5.806745000000000090e+01 4.911805890066149897e-04 6.014404053235949607e-04
5.844045599999999752e+01 5.299872988682860150e-04 5.704357666980419640e-04
5.881355599999999839e+01 5.306338787966649682e-04 6.402181653849199671e-04
5.918692300000000017e+01 5.474931856349079693e-04 5.331263747074370396e-04
5.956050799999999867e+01 5.948127407279839513e-04 5.328079862001799472e-04
5.993399099999999891e+01 5.671314035379489485e-04 6.420534334558659949e-04
6.030661400000000327e+01 7.381396706636720196e-04 5.253923090148879651e-04
6.068009099999999734e+01 6.914546814839539956e-04 6.004822999360500107e-04
6.105393699999999768e+01 8.095378427622310254e-04 5.679904853927009558e-04
6.142708700000000022e+01 9.335521298449720503e-04 6.966742524729160457e-04
6.180002199999999846e+01 8.986473718213900059e-04 7.545504570010409503e-04
6.217368400000000150e+01 1.211459474021029910e-03 7.279533667991810227e-04
6.254699200000000303e+01 1.373835397235590025e-03 7.616356898414720130e-04
6.292032999999999987e+01 1.301426904829240021e-03 6.823391283415979969e-04
6.329407400000000194e+01 1.804539389505209956e-03 7.957466839270470023e-04
6.366661400000000270e+01 1.978525820157320172e-03 8.536422471970729750e-04
6.404042499999999905e+01 2.360974615944970000e-03 8.004679115100799989e-04
6.441386900000000537e+01 2.695533340803140006e-03 7.542240267661429664e-04
6.478722799999999893e+01 3.396661672844330203e-03 4.867462500360569952e-04
6.516035200000000316e+01 4.412883350031329699e-03 -1.067055019337550056e-04
6.553331900000000587e+01 5.248277444707539867e-03 -1.346517916019900106e-03
6.590704599999999402e+01 4.845115252172569817e-03 -3.203077480060940140e-03
6.628036699999999826e+01 2.791961794024840158e-03 -4.895029296475530284e-03
6.665357400000000609e+01 3.575557861751880073e-04 -5.311963645346549912e-03
6.702742499999999382e+01 -1.662166038227150039e-03 -4.758469727901819962e-03
6.740007500000000107e+01 -2.885246302119040020e-03 -3.513948875957730207e-03
6.777315199999999606e+01 -3.090046239844389947e-03 -2.142845592116479972e-03
6.814696100000000456e+01 -2.874350555472630041e-03 -9.605815921649970071e-04
6.852057100000000389e+01 -2.424426146053570204e-03 -4.453171605627060129e-04
6.889430099999999868e+01 -1.652457983093910069e-03 -1.021204001539210033e-04
6.926753899999999931e+01 -1.352049138323339894e-03 -6.568487531196080147e-05
6.964021999999999935e+01 -1.213740843220249962e-03 2.042736826569779913e-05
7.001333599999999535e+01 -9.446429514580649903e-04 1.063529394376149943e-04
7.038696799999999598e+01 -8.785131849608650203e-04 8.125662101053549881e-05
7.076041399999999726e+01 -6.383913367763390011e-04 -3.733850487641049794e-06
7.113399900000000287e+01 -5.718050962539230090e-04 -1.539525590964230001e-04
7.150662599999999713e+01 -4.280842303687359854e-04 -9.692099157530870591e-05
7.188017800000000079e+01 -5.980479312282689641e-04 1.156779563611989949e-05
